date,lake_level,lake_extent_km2,water_depth,volume_km3
1949-01-10,1134.419,66841.61448016053,1134.419,75826.39745696924
1949-01-11,1134.419,66841.61448016053,1134.419,75826.39745696924
1949-01-12,1134.419,66841.61448016053,1134.419,75826.39745696924
1949-01-13,1134.419,66841.61448016053,1134.419,75826.39745696924
1949-01-14,1134.419,66841.61448016053,1134.419,75826.39745696924
1949-01-15,1134.379,66841.366493374,1134.379,75823.44248138709
1949-01-16,1134.379,66841.366493374,1134.379,75823.44248138709
1949-01-17,1134.369,66841.366493374,1134.369,75822.77406772216
1949-01-18,1134.369,66841.366493374,1134.369,75822.77406772216
1949-01-19,1134.369,66841.366493374,1134.369,75822.77406772216
1949-01-20,1134.369,66841.366493374,1134.369,75822.77406772216
1949-01-21,1134.369,66841.366493374,1134.369,75822.77406772216
1949-01-22,1134.359,66841.366493374,1134.359,75822.10565405722
1949-01-23,1134.359,66841.366493374,1134.359,75822.10565405722
1949-01-24,1134.359,66841.366493374,1134.359,75822.10565405722
1949-01-25,1134.329,66841.366493374,1134.329,75820.10041306242
1949-01-26,1134.329,66841.366493374,1134.329,75820.10041306242
1949-01-27,1134.329,66841.366493374,1134.329,75820.10041306242
1949-01-28,1134.329,66841.366493374,1134.329,75820.10041306242
1949-01-29,1134.329,66841.366493374,1134.329,75820.10041306242
1949-01-30,1134.329,66841.366493374,1134.329,75820.10041306242
1949-01-31,1134.329,66841.366493374,1134.329,75820.10041306242
1949-02-01,1134.389,66841.61448016053,1134.389,75824.3922085348
1949-02-02,1134.339,66841.366493374,1134.339,75820.76882672736
1949-02-03,1134.339,66841.366493374,1134.339,75820.76882672736
1949-02-04,1134.339,66841.366493374,1134.339,75820.76882672736
1949-02-05,1134.359,66841.366493374,1134.359,75822.10565405722
1949-02-06,1134.299,66841.366493374,1134.299,75818.09517206762
1949-02-07,1134.359,66841.366493374,1134.359,75822.10565405722
1949-02-08,1134.359,66841.366493374,1134.359,75822.10565405722
1949-02-09,1134.359,66841.366493374,1134.359,75822.10565405722
1949-02-10,1134.359,66841.366493374,1134.359,75822.10565405722
1949-02-11,1134.359,66841.366493374,1134.359,75822.10565405722
1949-02-12,1134.359,66841.366493374,1134.359,75822.10565405722
1949-02-13,1134.359,66841.366493374,1134.359,75822.10565405722
1949-02-14,1134.359,66841.366493374,1134.359,75822.10565405722
1949-02-15,1134.339,66841.366493374,1134.339,75820.76882672736
1949-02-16,1134.319,66841.366493374,1134.319,75819.4319993975
1949-02-17,1134.319,66841.366493374,1134.319,75819.4319993975
1949-02-18,1134.319,66841.366493374,1134.319,75819.4319993975
1949-02-19,1134.319,66841.366493374,1134.319,75819.4319993975
1949-02-20,1134.319,66841.366493374,1134.319,75819.4319993975
1949-02-21,1134.339,66841.366493374,1134.339,75820.76882672736
1949-02-22,1134.319,66841.366493374,1134.319,75819.4319993975
